Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Apartment;Copacabana;3;0;1;100;3000;950;2570
Apartment;Barra da Tijuca;4;3;2;361;8000;3068;
Shopping Store/Commercial Center;Centro;0;0;0;32;7500;;138
Commercial Set;Barra da Tijuca;0;1;0;25;900;620;
Commercial Set;Centro;0;0;0;285;25000;8571;1598
Commercial Set;Barra da Tijuca;0;1;0;31;1000;917;125
Apartment;Grajaú;2;2;1;90;2700;1713;260
Apartment;São Conrado;4;3;4;530;25000;15330;
Commercial Set;Copacabana;0;0;0;28;1000;660;
Apartment;Leme;2;0;0;75;;878;
Apartment;Barra da Tijuca;2;1;1;80;2500;1224;212
Commercial Set;Centro;0;0;0;4;450;;
Apartment;Laranjeiras;2;1;0;80;2000;450;
Whole Building;Tijuca;0;2;0;200;10000;;2100
Shopping Store/Commercial Center;Tijuca;0;0;0;50;4000;1650;195
Apartment;Barra da Tijuca;3;2;1;105;2300;1500;
Apartment;Botafogo;2;0;1;85;3200;700;200
Apartment;Recreio dos Bandeirantes;3;2;2;90;1950;715;154
Apartment;Tijuca;3;1;0;80;1900;700;60
Store/Hall;Centro;0;0;0;230;21850;5750;
Apartment;Recreio dos Bandeirantes;3;2;1;80;1900;650;137
Apartment;Bonsucesso;2;0;0;70;1200;465;
Store/Hall;Barra da Tijuca;0;1;0;70;3830;1927;989
Apartment;Barra da Tijuca;2;1;1;73;2700;1185;207
Apartment;Ipanema;3;1;1;160;20000;2400;661
Apartment;Copacabana;3;1;0;81;2500;1000;1736
Apartment;Barra da Tijuca;3;3;1;250;3500;2600;196
Commercial Set;Barra da Tijuca;0;1;0;35;800;1300;250
Apartment;Barra da Tijuca;4;3;4;230;9000;2750;600
Apartment;Recreio dos Bandeirantes;2;1;1;76;2200;812;193
Commercial Set;Centro;0;0;0;35;400;580;133
Apartment;Méier;2;1;1;70;1300;280;
Condominuim House;Barra da Tijuca;4;5;4;1000;28009;1600;15000
Commercial Set;Recreio dos Bandeirantes;0;1;0;22;650;485;170
Commercial Set;Centro;0;0;0;554;41535;8678;1788
Commercial Set;Jardim Carioca;0;1;0;27;900;550;838
Apartment;Jacarepaguá;2;1;1;65;1800;428;
Apartment;Ipanema;2;1;0;75;3300;1000;195
Apartment;Barra da Tijuca;2;1;1;58;1150;700;91
Commercial Set;São Conrado;0;1;0;27;2000;900;
Apartment;Laranjeiras;3;1;1;150;2700;1570;180
Commercial Set;Centro;0;1;0;588;52979;16308;2152
House;Campo Grande;4;5;1;596;4000;;7627
Apartment;Barra da Tijuca;3;2;3;105;3300;1500;270
Apartment;Recreio dos Bandeirantes;3;0;1;85;2100;791;
House;Taquara;4;2;1;550;8000;;
Apartment;Barra da Tijuca;3;2;1;147;3500;2249;559
Apartment;Copacabana;2;0;0;70;2200;770;125
Apartment;Barra da Tijuca;2;1;1;60;2100;733;99
Apartment;Tijuca;1;0;0;63;1300;725;50
Apartment;Copacabana;1;0;0;28;1550;478;24
Apartment;Méier;1;0;0;55;850;340;16
Commercial Set;Centro;0;0;0;1192;76000;30000;
Apartment;Copacabana;3;1;1;200;7500;1600;256
Kitchenette;Centro;0;0;0;30;900;400;
Apartment;Jardim Botânico;3;2;2;220;4900;1910;627
Commercial Set;Barra da Tijuca;0;1;0;40;1000;723;266
Commercial Set;Barra da Tijuca;0;1;0;32;1200;1350;225
Apartment;Copacabana;3;0;1;123;7500;1300;198
Store/Hall;Recreio dos Bandeirantes;0;0;0;98;8000;;
Apartment;Barra da Tijuca;2;1;1;68;2200;780;100
Apartment;Pechincha;3;1;1;70;1300;700;85
Apartment;Engenho Novo;3;0;0;75;1300;;
Store/Hall;Barra da Tijuca;0;1;0;150;5900;1100;200
House;Recreio dos Bandeirantes;2;1;2;212;6500;1363;287
Commercial Set;Jacarepaguá;0;0;0;24;600;561;
Apartment;Curicica;2;1;0;59;1200;510;13
Apartment;Barra da Tijuca;4;3;1;240;15000;5000;
Flat;Ipanema;2;1;1;76;8000;2700;750
Village House;Méier;2;1;1;65;1800;;
Apartment;Pechincha;3;0;0;78;1500;726;80
Commercial Set;Barra da Tijuca;0;9;0;370;10000;11000;
Apartment;Copacabana;2;0;1;83;3000;1209;204
Commercial Set;Centro;0;1;0;459;41362;12732;1680
Apartment;Ipanema;3;1;1;128;5800;1407;1137
Condominuim House;Barra da Tijuca;4;3;3;280;7800;1495;
Kitchenette;Centro;1;0;0;28;900;350;20
Apartment;Recreio dos Bandeirantes;2;1;1;83;2000;1750;
Commercial House;Botafogo;6;0;0;322;12000;;252
Commercial Set;Barra da Tijuca;0;1;0;36;1000;750;
Commercial Set;Barra da Tijuca;0;1;0;38;1700;1030;399
Apartment;Ipanema;4;3;3;433;26000;9500;2166
Apartment;Méier;3;0;0;70;1200;250;135
Apartment;Freguesia (Jacarepaguá);3;2;1;158;2500;1600;262
Apartment;Copacabana;3;1;1;90;2800;1200;150
Apartment;Barra da Tijuca;2;2;1;66;1700;1326;
Apartment;Leblon;2;0;0;59;1900;522;
Commercial Set;Centro;0;0;0;450;18000;5127;1600
Apartment;Recreio dos Bandeirantes;2;1;1;95;1650;630;142
Commercial Set;Madureira;0;0;0;20;900;400;36
Apartment;Copacabana;1;0;0;40;1500;510;54
Apartment;Barra da Tijuca;3;0;1;235;12000;4589;15506
Apartment;Flamengo;4;1;3;326;10000;2500;907
Apartment;Barra da Tijuca;3;1;2;66;1300;690;78
Commercial Set;Recreio dos Bandeirantes;0;1;0;40;1000;850;
Store/Hall;Barra da Tijuca;0;1;0;390;27000;7016;509
Apartment;Copacabana;2;0;0;90;2400;880;112
Store/Hall;Jacarepaguá;0;0;0;69;1500;;60
Kitchenette;Copacabana;1;0;0;40;1100;450;50
Apartment;Ipanema;4;1;2;260;15000;4600;1722
Commercial House;Taquara;0;0;0;350;8000;;670
Apartment;Bonsucesso;2;0;0;75;1000;475;
Apartment;Flamengo;3;1;1;147;5000;1270;250
Apartment;Recreio dos Bandeirantes;2;1;1;80;1600;1180;150
Commercial Set;Centro;0;0;0;680;14000;8403;3400
Apartment;Ipanema;4;1;4;200;20000;2400;650
Apartment;Jardim Guanabara;3;2;1;125;2680;500;345
Apartment;Botafogo;1;1;0;66;2200;700;
Apartment;Campo Grande;2;0;0;60;700;;
Apartment;Irajá;2;0;0;48;600;200;
Shed/Warehouse;Ramos;0;50;0;4000;24500;;1500
Apartment;Barra da Tijuca;1;1;0;66;1800;1130;337
Apartment;Barra da Tijuca;3;2;1;115;5000;1200;640
Apartment;Barra da Tijuca;4;2;1;145;3500;2182;516
Apartment;Ipanema;3;1;2;165;8500;1920;340
Apartment;Recreio dos Bandeirantes;3;3;1;128;2800;914;236
Apartment;Recreio dos Bandeirantes;3;1;1;90;1950;900;100
Apartment;Flamengo;3;1;0;110;3000;669;190
Apartment;Leblon;3;1;1;178;12000;1529;532
Apartment;Freguesia (Jacarepaguá);2;1;1;68;1800;700;106
Apartment;Barra da Tijuca;3;2;1;150;3400;2350;421
Apartment;Botafogo;3;1;1;108;3500;1000;130
Apartment;Tijuca;3;1;0;107;2300;400;
Commercial Set;Inhaúma;0;2;0;56;3000;1400;
Commercial Set;Barra da Tijuca;0;1;0;36;1300;1300;284
Commercial Set;Centro;0;0;0;33;600;333;84
Condominuim House;Freguesia (Jacarepaguá);2;1;1;98;1500;50;50
Commercial Set;Centro;0;0;0;347;29520;6723;1298
Apartment;Barra da Tijuca;2;1;2;82;2200;1200;
Apartment;Barra da Tijuca;4;3;3;250;13000;3400;1100
Apartment;Tijuca;2;0;0;76;1800;700;24
Apartment;Copacabana;2;0;0;90;3000;1000;400
Shed/Warehouse;Penha Circular;0;0;0;9220;73000;;8349
Apartment;Flamengo;1;0;1;26;1100;381;29
Apartment;Engenho de Dentro;3;1;0;75;1000;650;
Store/Hall;Barra da Tijuca;0;0;0;320;20000;3750;4040
Apartment;Barra da Tijuca;4;3;2;230;9500;3982;467
Apartment;Méier;2;0;0;50;1000;322;16
Apartment;Leblon;3;1;1;96;5500;1500;250
Apartment;Copacabana;1;0;0;55;3000;720;80
Apartment;Ipanema;3;1;2;250;10000;2000;850
Kitchenette;Copacabana;0;0;0;28;1300;603;53
Commercial Set;Méier;0;1;0;26;450;708;56
Apartment;Vila Valqueire;2;1;1;62;1000;700;
Commercial Set;Barra da Tijuca;0;1;0;32;1500;950;170
Apartment;Copacabana;2;0;1;120;3900;500;100
Shed/Warehouse;Vargem Grande;0;0;0;1000;20000;;
Apartment;Flamengo;1;0;0;45;2000;528;24
Apartment;Leblon;3;1;1;150;5500;900;
Apartment;São Conrado;5;2;1;230;5499;2300;600
Apartment;Copacabana;3;1;1;130;5800;730;280
Apartment;Barra da Tijuca;3;2;2;83;2400;607;1400
Commercial Set;Leblon;0;0;0;120;20000;2400;694
Commercial Set;Centro;0;0;0;36;1400;300;104
Apartment;Copacabana;3;0;1;140;5000;1850;180
Apartment;Leblon;2;1;0;77;3900;1200;185
Village House;Abolição;2;0;0;68;1200;65;135
Apartment;Barra da Tijuca;3;1;3;83;3600;1100;140
Apartment;Quintino Bocaiúva;2;1;0;60;1000;;
Apartment;Flamengo;2;0;0;100;3800;600;
Apartment;Copacabana;1;0;0;50;2000;951;57
Apartment;Recreio dos Bandeirantes;3;1;1;76;2200;780;120
Apartment;Ipanema;3;1;2;115;6000;710;
Apartment;Humaitá;3;2;2;200;9000;1200;380
Commercial Set;Barra da Tijuca;1;1;0;34;1700;1185;260
Condominuim House;Leblon;5;0;5;850;30000;1500;2600
Apartment;Cosme Velho;2;1;0;87;2500;797;
Commercial Set;Barra da Tijuca;0;1;0;30;500;900;120
Commercial Set;Leblon;0;10;0;580;110000;29865;
Apartment;Recreio dos Bandeirantes;3;2;3;200;4000;1300;4500
Commercial Set;Barra da Tijuca;0;0;0;21;500;490;86
Store/Hall;Barra da Tijuca;0;1;0;84;5300;1564;4231
Apartment;Tijuca;1;1;0;55;1600;653;41
Apartment;Grajaú;1;0;0;60;1650;150;25
Apartment;Tijuca;3;1;1;87;2300;559;100
Apartment;Recreio dos Bandeirantes;3;1;1;130;2800;7366;157
Commercial Set;Centro;0;0;0;36;500;1200;
Commercial Set;Barra da Tijuca;0;2;0;144;4500;4650;
Apartment;Jacarepaguá;2;1;1;80;2000;1300;1080
Apartment;Copacabana;2;2;2;76;4500;2050;308
Commercial Set;Centro;0;0;0;42;1100;1109;
Apartment;Freguesia (Jacarepaguá);2;1;1;70;1700;630;109
Commercial Set;Copacabana;0;0;0;32;1100;500;202
Apartment;Ipanema;2;0;0;66;2600;830;195
Commercial Set;Campo Grande;0;2;0;50;1400;714;150
Apartment;Riachuelo;2;1;0;56;1600;394;16
Commercial Set;Centro;0;0;0;30;800;370;127
Apartment;Barra da Tijuca;4;2;1;115;2800;1890;250
Commercial Set;Copacabana;0;0;0;39;1000;767;
Apartment;Vila Valqueire;3;1;0;94;1450;300;
Apartment;Tijuca;4;1;0;160;2000;1032;1056
Commercial Set;Centro;0;1;0;544;48999;15083;1990
Apartment;Tomás Coelho;2;1;0;44;750;300;20
Apartment;Santa Teresa;1;0;0;45;740;180;25
Apartment;Barra da Tijuca;2;1;1;65;1500;1000;
Store/Hall;Centro;0;0;0;7;3000;271;
Apartment;Barra da Tijuca;1;1;0;69;2500;1400;300
Whole Building;Gamboa;0;89;0;2397;154190;;4413
Apartment;Botafogo;3;1;2;110;5000;1550;398
Apartment;Ipanema;4;3;2;230;9000;3000;1100
Apartment;Tijuca;1;0;0;60;1800;470;
Condominuim House;Barra da Tijuca;5;0;3;270;20000;1150;650
Commercial Set;Flamengo;0;12;0;173;17391;4584;716
Commercial Set;Centro;0;0;0;597;15000;;
Apartment;Barra da Tijuca;2;1;1;70;2200;780;
Apartment;Lagoa;3;1;1;150;6000;950;390
Apartment;Barra da Tijuca;1;2;1;100;7000;1990;2300
House;Colégio;1;0;0;65;800;;
Apartment;Leblon;2;1;1;80;3600;1250;235
Commercial Set;Centro;1;0;0;76;1300;750;
Apartment;Lagoa;2;1;1;100;3800;950;
Apartment;Copacabana;1;0;0;50;2500;1;1
Apartment;Leblon;4;2;1;170;11000;2700;570
Apartment;Ipanema;2;1;0;85;3000;760;80
Commercial Set;Campo Grande;0;1;0;26;500;465;44
Apartment;Praça da Bandeira;2;1;1;61;1400;741;
Apartment;Barra da Tijuca;2;2;1;65;1800;593;54
Apartment;Barra da Tijuca;3;2;3;145;2900;1800;
Kitchenette;Copacabana;1;0;0;23;1400;300;
Commercial Set;Botafogo;0;0;0;20;1198;;
Apartment;Lagoa;4;3;2;388;12000;6046;1239
Commercial Set;Barra da Tijuca;0;0;0;605;45000;18559;51176
Apartment;Vila da Penha;2;0;0;60;1200;253;
Store/Hall;Barra da Tijuca;0;0;0;32;1000;1721;702
Apartment;Recreio dos Bandeirantes;3;1;1;84;2000;810;
Apartment;Cosme Velho;3;4;1;200;5000;1408;246
Apartment;Barra da Tijuca;4;3;3;266;15000;3700;692
Condominuim House;Barra da Tijuca;4;4;4;806;24000;2081;2300
Commercial Set;Barra da Tijuca;0;4;0;126;5500;2520;
Apartment;Cosme Velho;3;1;1;115;3950;;
Flat;Barra da Tijuca;2;1;2;65;2200;2700;145
Apartment;Flamengo;2;0;0;75;2400;635;119
Apartment;Lagoa;3;1;0;153;6200;1900;
House;Campo Grande;2;0;0;70;1100;;
Apartment;Flamengo;1;0;0;42;1600;550;56
Apartment;Laranjeiras;3;1;0;100;3100;901;184
Apartment;Copacabana;4;1;1;230;5000;1821;500
Apartment;Copacabana;1;0;0;45;1600;490;73
Apartment;Recreio dos Bandeirantes;2;1;1;69;1500;752;149
Apartment;Copacabana;1;0;0;35;1400;605;53
Kitchenette;Santa Teresa;1;0;0;20;700;303;14
Apartment;Gávea;3;2;1;130;6300;1600;330
Commercial Set;Barra da Tijuca;0;1;0;27;1100;875;193
Kitchenette;Centro;1;0;0;20;1090;300;15
Store/Hall;Barra da Tijuca;0;0;0;647;45290;16175;5823
Apartment;Barra da Tijuca;5;4;5;352;13000;3200;
Condominuim House;Jacarepaguá;4;0;4;400;12000;800;600
Commercial Set;Recreio dos Bandeirantes;0;1;0;30;2000;299;170
Apartment;Leme;1;0;0;65;3000;590;90
Apartment;Copacabana;1;0;0;20;3000;;
Commercial Set;Barra da Tijuca;0;1;0;31;1000;820;44
Apartment;Barra da Tijuca;1;1;1;71;2500;1756;192
Commercial Set;Centro;0;0;0;460;35000;7574;19213
Apartment;Recreio dos Bandeirantes;2;1;2;55;2000;1450;330
Commercial Set;Vicente de Carvalho;0;1;0;25;900;645;2
Apartment;Rio Comprido;2;1;1;48;1600;524;12
Apartment;Copacabana;2;0;0;74;2000;900;132
Apartment;Grajaú;1;0;1;73;2000;600;100
Apartment;Leblon;2;1;0;70;3800;700;100
Apartment;Leblon;2;1;0;96;4500;750;
Shopping Store/Commercial Center;Recreio dos Bandeirantes;0;1;0;70;2300;1080;220
Apartment;Ramos;2;0;0;75;1200;250;
Apartment;Cascadura;2;0;0;50;850;140;
Apartment;Gávea;3;0;1;120;2700;880;238
Apartment;Recreio dos Bandeirantes;3;2;2;200;3250;800;200
Apartment;Recreio dos Bandeirantes;2;1;1;82;1400;620;
Apartment;Copacabana;4;1;0;100;3200;1022;
Apartment;Botafogo;2;1;0;65;2950;600;102
Commercial Set;Centro;0;0;0;60;1800;1080;140
Apartment;Gávea;1;0;0;50;2700;510;86
Commercial Set;Jardim Sulacap;0;0;0;25;550;120;43
Commercial Set;Ipanema;0;0;0;34;2400;858;217
Apartment;Anil;2;1;0;56;1100;355;162
Kitchenette;Centro;0;0;0;25;650;435;
Flat;Botafogo;2;1;1;90;2500;1760;186
Apartment;Tijuca;2;1;1;92;2900;907;
Apartment;Recreio dos Bandeirantes;2;1;1;90;1700;549;212
Apartment;Barra da Tijuca;3;3;3;266;15000;3700;692
Store/Hall;Barra da Tijuca;0;2;0;154;10800;2977;744
House;Campo Grande;3;4;3;363;;;
Apartment;Copacabana;2;0;0;80;2400;995;180
Commercial Set;Copacabana;0;1;0;60;3000;1100;250
Apartment;Tijuca;3;2;1;135;2000;920;2400
Commercial Set;Copacabana;0;1;0;120;4500;2200;528
Commercial Set;Barra da Tijuca;0;2;0;20;3200;7318;190
Village House;Méier;3;1;1;80;2300;;
Commercial Set;Barra da Tijuca;0;1;0;51;1000;1803;352
Apartment;Pechincha;3;2;1;113;1300;840;
Shed/Warehouse;Curicica;0;0;0;893;33934;5340;3107
Apartment;Maracanã;2;1;1;70;1300;766;110
Apartment;Laranjeiras;3;1;1;105;3800;1200;
Apartment;Jacarepaguá;2;1;0;60;1000;590;20
Commercial Set;Recreio dos Bandeirantes;0;1;0;27;1000;600;118
Apartment;Recreio dos Bandeirantes;3;1;1;91;1900;550;
Apartment;Ipanema;2;1;1;82;15000;4000;5918
Apartment;Penha;2;0;0;117;1300;;110
Store/Hall;Botafogo;0;0;0;585;60000;400;50000
Shopping Store/Commercial Center;Barra da Tijuca;0;1;0;82;3500;2278;678
Store/Hall;Barra da Tijuca;0;0;0;27;1570;812;617
Commercial Set;Barra da Tijuca;0;4;0;113;430;2807;430
Condominuim House;Barra da Tijuca;5;3;0;900;20000;1308;1601
Apartment;Copacabana;4;1;3;220;16000;1700;550
Apartment;Leblon;2;1;1;98;4500;1637;
Apartment;Tanque;1;1;1;64;900;470;15
Apartment;Leblon;2;1;1;80;8000;2279;
Apartment;Ipanema;1;0;0;54;2100;781;
Apartment;Barra da Tijuca;3;2;1;133;3500;2292;690
Apartment;Pechincha;2;1;0;50;600;330;14
Apartment;Barra da Tijuca;4;4;4;601;7000;5800;1202
Commercial Set;Barra da Tijuca;0;1;0;49;2400;1050;
Whole Building;Centro;1;92;0;6550;430000;;51985
Commercial Set;Tijuca;0;1;0;29;1450;550;83
Apartment;Pavuna;2;0;0;40;600;;
Apartment;Botafogo;3;2;1;86;3700;815;139
Commercial Set;Barra da Tijuca;0;7;0;200;15000;4200;940
House;Recreio dos Bandeirantes;4;5;3;222;5800;638;354
Apartment;Lagoa;3;3;1;252;9000;1900;600
Apartment;Tijuca;2;1;0;66;2300;125;531
Commercial Set;Laranjeiras;0;6;0;942;80070;18840;
Apartment;Ipanema;4;3;1;236;13000;3000;940
Commercial Set;Barra da Tijuca;0;5;0;370;27750;6631;2200
Commercial Set;Centro;0;0;0;200;10000;2500;900
Commercial Set;Centro;0;0;0;539;74921;14553;
Apartment;Vila Isabel;2;1;0;70;1600;750;60
Apartment;Barra da Tijuca;3;2;2;212;5500;1200;682
Garage;Centro;0;0;0;9;100;446;
House;Campo Grande;3;1;0;100;1500;;
Apartment;Ipanema;3;1;0;80;3500;1000;204
Apartment;Anil;2;1;1;65;1500;367;
Commercial Set;Centro;0;0;0;1516;60640;22452;
Apartment;Leblon;4;2;4;300;16000;4200;1764
House;Recreio dos Bandeirantes;4;2;4;900;14000;1170;
Shed/Warehouse;Cordovil;0;0;0;4000;39000;;4000
Commercial Set;Barra da Tijuca;0;2;0;70;3000;1888;
Apartment;Recreio dos Bandeirantes;3;3;1;120;2600;930;380
Apartment;Copacabana;1;0;0;55;2500;;
Commercial Set;Copacabana;0;1;0;40;2500;934;128
Flat;Copacabana;2;1;1;60;3000;1600;188
Store/Hall;Copacabana;0;0;0;25;1299;680;100
Apartment;Leblon;3;1;1;150;5000;1000;450
Village House;Recreio dos Bandeirantes;3;2;3;284;4500;920;359
Apartment;Botafogo;2;1;1;84;5000;1107;210
House;Pilares;2;0;0;65;800;;
Apartment;Barra da Tijuca;4;3;2;244;7000;3110;6900
Apartment;Recreio dos Bandeirantes;3;1;1;81;1900;1014;80
Apartment;Leblon;4;1;4;200;10000;1600;1198
Apartment;Pechincha;3;1;1;108;1350;900;114
Apartment;Glória;1;0;1;48;1100;500;
Commercial Set;Centro;0;0;0;30;350;350;93
Apartment;Barra da Tijuca;3;2;1;98;2800;1520;110
Commercial Set;Barra da Tijuca;0;1;0;34;1800;1300;
Apartment;Lagoa;3;1;0;116;3500;1154;289
Apartment;Tijuca;2;0;0;70;1600;850;84
Apartment;Flamengo;1;0;1;41;1700;630;55
Apartment;Taquara;2;1;0;53;1000;400;16
Apartment;Taquara;3;1;1;64;1200;590;546
Apartment;Cachambi;3;1;0;77;1300;420;25
Commercial Set;Centro;0;36;0;1897;151760;48506;8223
Commercial Set;Centro;0;0;0;104;2230;4009;172
House;Bangu;2;2;0;120;1580;;
Apartment;Andaraí;1;2;0;67;1500;522;104
Apartment;Vargem Pequena;2;1;0;45;1100;360;40
Shopping Store/Commercial Center;Barra da Tijuca;0;1;0;30;800;950;150
Apartment;Vila Valqueire;3;3;1;130;2000;275;
Apartment;Leblon;2;1;1;70;5500;2000;400
Apartment;Recreio dos Bandeirantes;2;1;1;68;1500;1025;112
Apartment;Humaitá;1;1;0;60;3200;614;250
Flat;Botafogo;1;1;1;70;2900;1071;85
Store/Hall;Barra da Tijuca;0;2;0;202;8000;4300;3370
Apartment;Centro;3;2;1;120;2500;1500;208
Apartment;Catete;2;0;0;71;1900;566;129
Apartment;Curicica;2;1;0;60;1500;350;
Apartment;Barra da Tijuca;3;2;3;127;6000;1700;3500
Commercial Set;Centro;0;0;0;90;1500;1100;180
Apartment;Freguesia (Jacarepaguá);2;0;0;75;1300;200;125
Kitchenette;Flamengo;1;0;0;30;2150;260;25
Kitchenette;Centro;1;0;0;22;750;330;25
Apartment;Barra da Tijuca;3;2;1;126;5400;980;594
Apartment;Cascadura;2;0;0;96;1250;;77
Apartment;Botafogo;3;2;2;130;4200;1357;326
Commercial Set;Barra da Tijuca;0;0;0;36;2000;700;
Commercial Set;Castelo;0;0;0;24;900;300;
Commercial Set;Cachambi;0;2;0;60;1200;780;
Apartment;Leme;2;0;0;75;2600;878;
Apartment;Vila Isabel;2;1;0;69;1350;670;
Apartment;Tijuca;2;1;0;210;3200;792;178
Village House;Bangu;2;1;0;100;1100;;
Apartment;Tijuca;3;1;0;105;2200;684;132
Apartment;Copacabana;4;1;1;298;3500;3080;
Kitchenette;Copacabana;1;0;0;30;5000;600;
Apartment;Todos os Santos;3;1;1;78;1300;571;
Apartment;Barra da Tijuca;2;1;1;69;2650;1300;200
House;Vila Isabel;2;0;0;52;1500;;
Apartment;Barra da Tijuca;2;1;0;84;2200;900;2000
Apartment;Taquara;2;1;0;50;850;450;12
Apartment;Ipanema;3;2;2;190;21500;2700;700
Condominuim House;Campo Grande;2;0;0;75;1500;360;
Apartment;Barra da Tijuca;3;3;1;132;4900;2100;220
Commercial Set;Campo Grande;0;0;0;23;800;600;
Apartment;Barra da Tijuca;2;1;1;69;1700;975;183
Apartment;Humaitá;3;2;1;112;4500;1400;231
House;Todos os Santos;2;1;0;90;1800;;
Commercial Set;Vila Isabel;0;1;0;25;1000;800;
Apartment;Tijuca;3;1;0;75;1900;510;
Commercial Set;Centro;0;0;0;414;16000;7534;1300
Apartment;Copacabana;4;1;2;264;3500;1900;68
Commercial Set;Campo Grande;0;0;0;40;800;455;
Apartment;Leblon;3;0;0;90;10000;;
Apartment;Copacabana;2;1;1;81;3700;1033;220
Apartment;Barra da Tijuca;4;3;2;218;4900;2406;683
Commercial Set;Centro;0;0;0;33;750;619;124
Condominuim House;Barra da Tijuca;4;4;4;869;24000;2214;2376
Apartment;Barra da Tijuca;5;3;3;320;11000;4408;1575
Apartment;Leme;1;0;0;60;2600;600;60
Apartment;Barra da Tijuca;3;2;1;90;2800;1517;359
Commercial Set;Ilha do Governador;0;0;0;27;600;336;
Commercial Set;Freguesia (Jacarepaguá);0;1;0;19;600;450;
Apartment;Barra da Tijuca;3;1;1;92;3500;1200;
Commercial Set;Recreio dos Bandeirantes;0;1;0;26;2000;259;148
Apartment;Vila da Penha;2;1;0;62;1100;;
Apartment;Leblon;2;0;0;66;2600;661;149
Condominuim House;Barra da Tijuca;4;4;4;300;14000;1200;350
Apartment;Tijuca;2;0;0;80;1600;250;20
Commercial Set;Jacarepaguá;0;1;0;22;1200;790;100
Apartment;Barra da Tijuca;3;1;1;120;4200;1024;623
Apartment;Ipanema;3;1;1;98;4950;1200;260
Apartment;Copacabana;3;1;0;138;2800;1501;318
Kitchenette;Centro;1;0;0;32;700;480;90
Apartment;Recreio dos Bandeirantes;3;2;1;120;2200;550;174
Apartment;Barra da Tijuca;3;3;3;145;5100;1100;
Apartment;Copacabana;2;0;1;52;2800;800;50
Commercial Set;Centro;0;0;0;73;1400;852;
Apartment;Centro;1;0;0;50;1260;290;23
Commercial Set;Madureira;0;0;0;29;580;480;60
Apartment;Rocha;2;1;0;74;1250;630;38
Apartment;Barra da Tijuca;2;1;1;91;3800;1055;
Apartment;São Cristóvão;2;1;1;55;1500;520;1
Commercial Set;Flamengo;0;3;0;174;14782;4294;826
Apartment;Botafogo;3;2;0;150;5500;1000;
Apartment;Botafogo;3;2;1;115;4500;1200;
Apartment;Lagoa;1;1;1;120;7000;1500;285
Apartment;Leblon;4;2;4;200;10500;2710;944
Commercial Set;Pilares;0;1;0;23;400;400;
Commercial Set;Freguesia (Jacarepaguá);0;1;0;28;950;330;
Apartment;Leblon;3;1;1;100;4500;1407;
Apartment;Leblon;3;1;1;150;7000;2500;383
Apartment;Barra da Tijuca;2;1;1;75;2100;638;
Commercial Set;Caju;0;0;0;2132;255840;;
Apartment;Copacabana;1;0;0;33;1400;561;29
Apartment;Barra da Tijuca;3;1;1;88;2300;803;
Apartment;Barra da Tijuca;2;1;1;101;3000;2100;265
Commercial Set;Centro;0;0;0;1354;81240;93686;21080
Apartment;Tijuca;3;2;0;74;2500;713;95
Apartment;Copacabana;2;0;0;70;2200;520;
Commercial Set;Centro;0;18;0;957;86089;26534;2630
Flat;Ipanema;2;2;2;102;4300;2000;300
Kitchenette;Copacabana;1;0;0;30;1100;423;242
Apartment;Leblon;3;2;3;274;15000;5000;1700
Apartment;Maracanã;2;1;0;65;1600;668;
Condominuim House;Recreio dos Bandeirantes;4;3;4;161;5000;900;2200
Apartment;Copacabana;4;2;2;389;12400;3522;
Apartment;Copacabana;3;1;0;220;7000;2200;
Apartment;Leblon;3;1;1;150;5000;1100;390
Apartment;Flamengo;1;0;0;52;1550;620;
Apartment;Lagoa;3;1;1;117;5500;1000;456
House;Campo Grande;2;1;0;80;2000;;
Apartment;Flamengo;3;2;1;216;5800;1750;350
Commercial Set;Freguesia (Jacarepaguá);0;1;0;52;2000;979;600
Condominuim House;Vargem Grande;4;1;2;180;2300;;20
Store/Hall;Barra da Tijuca;0;2;0;80;;;
Apartment;Copacabana;1;0;1;30;2700;;
Apartment;Campo Grande;2;0;0;60;700;;
Commercial House;Vila Valqueire;0;4;0;360;8500;;160
Store/Hall;Vila Isabel;0;0;0;130;3500;;
Store/Hall;Botafogo;0;0;0;180;6800;625;
Apartment;Ipanema;2;1;2;74;10000;4042;393
Apartment;Copacabana;3;1;0;90;3000;780;175
Apartment;Pavuna;2;1;0;45;800;266;
Shopping Store/Commercial Center;Barra da Tijuca;0;0;0;32;1300;505;128
Apartment;Freguesia (Jacarepaguá);3;1;1;100;2500;912;132
Village House;Santa Teresa;2;0;0;120;2000;;
Commercial Set;Centro;0;0;0;488;24400;7320;
Commercial Set;Tijuca;0;0;0;50;2200;2000;749
Condominuim House;Barra da Tijuca;4;4;4;700;15000;2400;18000
Apartment;Barra da Tijuca;2;1;0;73;2500;980;199
Kitchenette;Copacabana;1;0;0;40;1600;550;69
Apartment;Leblon;3;1;1;100;10000;1900;275
Apartment;Lagoa;3;2;3;125;4700;1702;561
Apartment;Barra da Tijuca;2;1;1;74;1600;900;
Apartment;Rio Comprido;2;0;0;67;1500;454;15
Apartment;Barra da Tijuca;2;1;1;95;2000;1800;100
Apartment;Tijuca;2;1;1;71;1400;600;
Apartment;Recreio dos Bandeirantes;3;3;1;300;2900;1000;784
