Type;District;Rooms;Vacancies;Suites;Area;Value;Condominium;Taxes
Apartment;Barra da Tijuca;1;1;1;70;1700;870;143
Commercial Set;Barra da Tijuca;0;4;0;145;9000;6400;
Apartment;Praça Seca;2;0;0;80;1000;;
Apartment;Tijuca;2;1;0;80;1800;1100;84
Commercial Set;Barra da Tijuca;0;2;0;142;4000;5024;12415
Commercial Set;Botafogo;0;3;0;241;22000;9384;
Village House;Piedade;2;1;0;70;1300;;
Apartment;Tijuca;3;1;0;172;2700;780;170
Apartment;Freguesia (Jacarepaguá);4;3;2;261;2800;2535;3900
Shed/Warehouse;Bonsucesso;0;10;0;13010;100000;;12000
Apartment;Ipanema;3;1;1;145;8000;14768;4394
Apartment;Olaria;2;1;0;53;1100;160;
Kitchenette;Copacabana;1;0;0;29;1200;460;
Apartment;Botafogo;2;1;1;83;2800;560;138
Apartment;Botafogo;2;1;1;80;4300;1178;187
Apartment;Lagoa;3;1;2;250;13900;2500;
Commercial Set;Centro;0;0;0;40;1500;637;84
Commercial Set;Centro;0;0;0;48;1400;729;157
Commercial Set;Santo Cristo;0;64;0;4800;312000;92000;
Commercial Set;Largo do Machado;0;0;0;30;800;592;162
Apartment;Leblon;3;2;1;147;7500;1028;247
Apartment;Copacabana;2;1;0;67;3500;950;160
Apartment;Ipanema;3;1;1;150;25000;1616;4255
Apartment;Barra da Tijuca;4;3;2;220;7500;3911;716
Apartment;Catete;2;0;0;77;2400;1130;140
Commercial Set;Centro;0;0;0;55;900;1240;240
Apartment;Jardim Carioca;2;1;0;55;1350;430;47
House;Maracanã;8;3;5;259;7000;;
Apartment;Leblon;3;1;0;85;3900;800;1211
Apartment;Catete;2;0;0;75;3350;455;
Apartment;Recreio dos Bandeirantes;3;2;1;90;1200;880;144
House;Benfica;1;0;0;33;1200;;
Kitchenette;Glória;1;0;0;16;1400;300;210
Commercial Set;Centro;0;0;0;212;13000;4700;1350
Commercial Set;Freguesia (Jacarepaguá);0;0;0;22;490;450;525
Commercial Set;Barra da Tijuca;0;1;0;20;445;791;1041
Apartment;Praça Seca;2;0;0;80;900;350;
Apartment;Vila Isabel;1;0;0;37;1000;285;24
Shed/Warehouse;Quintino Bocaiúva;0;0;0;550;4300;;
Commercial Set;Campo Grande;0;0;0;20;800;;
Commercial Set;São Francisco Xavier;0;1;0;27;1500;580;
Apartment;Copacabana;3;0;0;150;5500;1780;420
Apartment;Lagoa;3;1;1;127;5000;1540;370
Apartment;Freguesia (Jacarepaguá);2;1;1;74;1700;652;104
Commercial Set;Barra da Tijuca;0;1;0;32;1300;935;217
Commercial Set;Barra da Tijuca;0;0;0;28;800;550;
Commercial Set;Barra da Tijuca;0;1;0;45;1600;1100;350
Apartment;Barra da Tijuca;3;2;1;128;3000;1384;324
Standard Land;Barra da Tijuca;0;0;0;1110;140000;;
Apartment;Gávea;3;1;1;160;8000;2000;
Commercial Set;Centro;0;0;0;154;3900;5100;559
Apartment;Copacabana;3;1;1;200;6200;1800;420
Apartment;Barra da Tijuca;2;1;0;58;1500;666;106
Apartment;Botafogo;3;1;1;100;5500;1300;220
Apartment;Barra da Tijuca;4;2;3;320;5500;2700;800
Apartment;Rocha Miranda;2;1;0;50;1100;;
Apartment;Recreio dos Bandeirantes;2;1;1;75;1000;1040;112
Commercial Set;Barra da Tijuca;0;0;0;21;1200;588;
Commercial Set;Freguesia (Jacarepaguá);0;0;0;22;500;600;85
Apartment;Ipanema;2;0;2;52;10000;3689;393
Commercial Set;Recreio dos Bandeirantes;0;1;0;48;2000;1064;
Store/Hall;Barra da Tijuca;0;1;0;120;4000;1400;1500
Apartment;Leblon;4;4;4;380;40000;4700;1500
Commercial Set;Centro;0;0;0;35;1000;322;33
Commercial Set;Tijuca;0;1;0;20;1000;690;58
Store/Hall;Barra da Tijuca;0;1;0;50;4500;1172;1327
Apartment;Recreio dos Bandeirantes;3;2;1;104;2200;740;258
Commercial Set;Centro;0;0;0;120;3000;1380;509
Apartment;Barra da Tijuca;2;1;1;72;2600;1700;237
Apartment;Taquara;2;1;0;75;1200;330;75
